"coverage","length","m","n","degree","corrected"
0.9444,0.275969655764022,1,10,1,"yes"
0.957,0.23665757880553,2,10,1,"yes"
0.9554,0.225901406443588,3,10,1,"yes"
0.9498,0.225584824112778,1,30,1,"yes"
0.9556,0.215145582409413,2,30,1,"yes"
0.953,0.212659550318059,3,30,1,"yes"
0.9564,0.216900009652615,1,50,1,"yes"
0.952,0.210657479626567,2,50,1,"yes"
0.954,0.208975735149979,3,50,1,"yes"
0.9376,0.254179587260587,1,10,1,"no"
0.9374,0.221423786186817,2,10,1,"no"
0.9344,0.214285686877938,3,10,1,"no"
0.9368,0.213335195363913,1,30,1,"no"
0.9426,0.207855271100754,2,30,1,"no"
0.9422,0.206680191045311,3,30,1,"no"
0.9432,0.20763044047818,1,50,1,"no"
0.9476,0.206250312043136,2,50,1,"no"
0.9458,0.204818431699432,3,50,1,"no"
0.941,0.247060771455037,1,10,2,"yes"
0.9466,0.226266383391045,2,10,2,"yes"
0.9526,0.217606687615325,3,10,2,"yes"
0.9536,0.217306929099456,1,30,2,"yes"
0.947,0.210455226100544,2,30,2,"yes"
0.9488,0.208294432323726,3,30,2,"yes"
0.9478,0.212269491601712,1,50,2,"yes"
0.9488,0.20823055170415,2,50,2,"yes"
0.9526,0.206588581544423,3,50,2,"yes"
0.9152,0.227528070126153,1,10,2,"no"
0.9412,0.213969921335471,2,10,2,"no"
0.9442,0.211180723004714,3,10,2,"no"
0.9434,0.210394076000533,1,30,2,"no"
0.9448,0.206901457053608,2,30,2,"no"
0.9492,0.205786475387879,3,30,2,"no"
0.9478,0.206864380185186,1,50,2,"no"
0.9468,0.20554758965032,2,50,2,"no"
0.9534,0.206017111930737,3,50,2,"no"
